Blueloft.BD,	Shopping & retail · Clothing (brand),	https://www.facebook.com/Blueloft.BD,	,	2231 likes,	Wednesday 27 January 2021 at 07:24,	Wednesday 27 January 2021 at 06:01,	Friday 11 December 2020 at 01:36
habibecoagrosolutions,	Local business,	https://www.facebook.com/habibecoagrosolutions,	01749-809060,	759 likes,	Friday 31 July 2020 at 09:48,	Thursday 20 June 2019 at 22:04,	
kdnaonlineshop,	Apparel & clothing,	https://www.facebook.com/kdnaonlineshop,	01725-678950,	49739 likes,	Wednesday 18 November 2020 at 23:41,	Tuesday 17 November 2020 at 19:38,	
FlowWithFashion,	Clothing (brand),	https://www.facebook.com/FlowWithFashion,	01626-001656,	440 likes,	Wednesday 6 January 2021 at 00:27,	Thursday 24 September 2020 at 00:27,	
Raeekshop,	Product/service · E-commerce website,	https://www.facebook.com/Raeekshop,	01870-904060,	54748 likes,	,	,	
amerrajdhanichapai,	App Page · Farmers market,	https://www.facebook.com/amerrajdhanichapai,	01317-928291,	1849 likes,	Saturday 20 June 2020 at 02:44,	Thursday 11 June 2020 at 05:12,	
abrarfashionhouserangamati,	Clothing (brand) · Shopping & retail,	https://www.facebook.com/abrarfashionhouserangamati,	01828-812495,	1672 likes,	Friday 5 February 2021 at 21:57,	Thursday 3 December 2020 at 01:04,	
yellothes,	Clothes shop · Bags/luggage · Jewellery/watches,	https://www.facebook.com/yellothes,	01679-338977,	242 likes,	,	,	
Shammiakters185,	Women's clothes shop,	https://www.facebook.com/Shammiakters185,	01799-118818,	682 likes,	Friday 5 February 2021 at 05:24,	Friday 5 February 2021 at 22:10,	
Mascobazarcom,	E-commerce website,	https://www.facebook.com/Mascobazarcom,	,	17170 likes,	Friday 5 February 2021 at 05:21,	Friday 5 February 2021 at 07:06,	
urbantouch.brand,	Clothing (brand) · Product/service · Shopping & retail,	https://www.facebook.com/urbantouch.brand,	01818-344504,	342 likes,	Tuesday 2 February 2021 at 02:41,	Tuesday 2 February 2021 at 02:37,	
